Stay	InfctRsk
8.82	1.6
11.2	5.7
9.76	5.1
11.18	5.4
8.84	6.3
11.07	4.9
12.78	7.7
7.58	3.7
11.62	6.4
9.06	4.2
10.24	4.8
9.78	5
8.28	3.9
9.31	4.5
8.19	3.2
11.65	4.4
9.89	4.9
11.03	5
9.84	5.2
11.77	5.3
13.59	6.1
9.74	6.3
10.33	5
9.97	2.8
10.47	4.1
8.37	5.5
10.9	5.5
11.48	5.6
9.23	4.3
12.07	7.8
8.63	3.1
11.15	3.9
10.73	3.9
10.42	3.4
11.18	5.7
9.66	4.4
9.42	4.3
10.02	4.4
8.03	3.5
7.39	4.2
10.05	4.5
8.45	3.4
8.9	2.9
10.23	4.9
8.88	4.4
10.3	5.1
10.79	2.9
7.94	3.5
10.39	4.3
9.36	4.8
8.92	1.3
9.77	5.3
8.54	2.5
12.01	4.8
9.89	4.3
13.95	6.6
8.02	2.1
11.8	5.7
